PATENTE;AÑO GIRO;AÑO FABRI.;MONTO PAGADO;TIPO PAGO;FECHA PAGO;MODULO ATENCION;TIPO VEHICULO;MARCA;MODELO;COLOR;CODIGO SII
SCZB48;2025;2008;33715;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAGE ;BLANCO;SU1320081
SCZB60;2025;2002;33715;TOTAL;45728;WEB;CAMIONETA;MITSUBISHI;CANTER 5.2 ;BLANCO;CT640045
SDHZ59;2025;2012;33710;TOTAL;45728;Presencial;AUTOMOVIL;DAIHATSU;MOVE 660;ROSADO;SU590109
SDLB56;2025;2016;117703;TOTAL;45728;WEB;CAMIONETA;FORD;F 150 5.0 AUT ;PLATEADO;CT790183
SDZL24;2025;2012;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;ROJO BURDEO;SD1600184
SDZL58;2025;2009;37991;TOTAL;45728;WEB;AUTOMOVIL;AUDI;TT ;BLANCO;SD130081
SDZL73;2025;2013;33715;TOTAL;45728;WEB;AUTOMOVIL;NISSAN;NOTE ;BLANCO PERLA;HB1760056
SGDZ24;2025;2023;106449;TOTAL;45728;WEB;STATION WAGON;CHEVROLET;TRACKER T PREMIER AT P 2;AZUL OSCURO MET;SU500168
SGDZ74;2025;2012;34630;TOTAL;45728;WEB;CAMIONETA;SSANGYONG;KORANDO DCAB;NEGRO;SU2250072
SGFC35;2025;2004;33715;TOTAL;45728;WEB;CAMIONETA;HYUNDAI;PORTER II ;AZUL;CT1110025
SGFF47;2025;2023;52933;1°Cuota;45728;WEB;CAMIONETA;JAC;T8 PRO DIESEL LUXURY ;GRIS;CT1170031
SH4262;2025;1998;33715;TOTAL;45728;WEB;AUTOMOVIL;DAIHATSU       ;CUORE;VIOLETA LILA ME;HB590011
SHJX75;2024;2012;17728;2° Cuota;45728;WEB;STATION WAGON;HONDA;FIT ;BLANCO PERLA BL;HB1060024
SHJZ18;2025;2015;47015;TOTAL;45728;WEB;STATION WAGON;SSANGYONG;KORANDO ;PLATEADO;SU2250072
SHRG29;2025;2023;186354;TOTAL;45728;WEB;CAMIONETA;MAXUS;C35 DOBLE CAB ;BLANCO;CT1590028
SJHD30;2025;2023;64560;TOTAL;45728;Presencial;STATION WAGON;CHEVROLET;GROOVE ;AZUL CIELO META;SU500170
SJHG11;2024;2004;36678;TOTAL;45728;WEB;STATION WAGON;NISSAN;CARAVAN ;BLANCO;SU1760160
SJHG11;2025;2004;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;CARAVAN ;BLANCO;SU1760160
SJHH50;2025;2019;280094;TOTAL;45728;WEB;STATION WAGON;CHEVROLET;BLAZER ;AZUL;SU500136
SJJF31;2025;2023;302906;TOTAL;45728;WEB;CAMIONETA;NISSAN;NAVARA D CAB 4X4 2.3 AUT ;PLATEADO PLATA;CT1760338
SKCW13;2025;2023;157438;TOTAL;45728;WEB;STATION WAGON;HAVAL;H6 DELUXE ;ROJO GRANATE;SU990041
SKFB66;2025;2005;33715;TOTAL;45728;WEB;CAMIONETA;HYUNDAI;PORTER II ;AZUL;CT1110035
SKFD71;2025;2018;179465;TOTAL;45728;WEB;STATION WAGON;BMW;X3 20D 4X4 2.0 AUT ;PLATEADO;SU320269
SKFG30;2025;2013;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;NOTE ;BLANCO;HB1760058
SLBG55;2025;2012;33773;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAGE 2.0 AUT ;GRIS;SU1320119
SPDR99;2025;2009;33715;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAE 2.0 ;PLATEADO;SU1320092
SPDS61;2025;2020;134126;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SORENTO 2.0 AUT ;GRIS;SU1320200
SPDS62;2025;2014;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO 1.3 AUT ;GRIS;HB1600058
SPDT52;2025;2015;37669;TOTAL;45728;WEB;CAMIONETA;KIA MOTORS;BONGO III ;BLANCO;CT1320052
SPJX62;2025;2023;95793;1°Cuota;45728;WEB;STATION WAGON;HYUNDAI;TUCSON NX4 ;GRIS GRAFITO;SU1110268
SRP097;2025;2022;108298;TOTAL;45728;WEB;MOTO;BMW;R 1250 GS II 1254CC ;BLANCO AZUL RAN;MT320234
SRRT25;2025;2023;136790;TOTAL;45728;WEB;STATION WAGON;CHANGAN;CS55 PLUS ELITE ;NEGRO;SU470068
SSTJ32;2025;2016;72014;TOTAL;45728;WEB;STATION WAGON;FORD;EXPLORER 4X4 2.3 AUT ;BLANCO;VN790071
STR013;2025;2004;33715;TOTAL;45728;WEB;MOTO;SUZUKI;DL 1000 V STROM ;GRIS;MT2290145
SU2578;2025;1989;33715;TOTAL;45728;WEB;CAMIONETA;ISUZU;ELF;BLANCO;CT500031
SVSL62;2025;2019;134611;TOTAL;45728;WEB;STATION WAGON;JEEP;CHEROKEE ;PLATEADO;SU1210063
SVVD85;2025;2015;46260;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;TUCSON 2.0 ;GRIS GRAFITO;SU1110115
SVVH65;2025;2011;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;MARCH 1.2 AUT ;ROJO;SD1760269
SWCR54;2025;2011;33715;TOTAL;45728;WEB;AUTOMOVIL;SUZUKI;SWIFT ;ROJO;HB2290118
SWFS59;2025;2016;104517;TOTAL;45728;WEB;STATION WAGON;FORD;EXPLORER ;NEGRO;VN790066
SWFX68;2025;2009;33715;TOTAL;45728;WEB;STATION WAGON;SAMSUNG;QM5 ;GRIS;SD2070072
SWFY68;2025;2012;35871;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;GRAND STAREX ;PLATEADO;VN1110163
SWJY61;2025;2011;33715;TOTAL;45728;WEB;CAMIONETA;KIA MOTORS;BONGO III ;BLANCO;CT1320052
SWZT59;2025;2013;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;CELESTE;SD1600184
SWZV33;2025;2012;33715;TOTAL;45728;WEB;STATION WAGON;HONDA;FIT 1.5 AUT ;CAFE;HB1060024
SWZY45;2025;2023;474206;TOTAL;45728;WEB;STATION WAGON;VOLKSWAGEN;NUEVO ATLAS 3.6 AUT ;PLATEADO PLATA;SU2430121
